timestamp,asset,side,quantity,entry_price,exit_price,profit_loss,balance
2023-01-03 09:47:00,TSLA,SELL,69,245.0,246.23,85.2,25085.2
2023-01-03 10:00:00,AAPL,BUY,87,175.76,175.48,-24.55,25060.65
2023-01-03 10:32:00,TSLA,SELL,72,246.12,244.35,-127.55,24933.1
2023-01-03 10:51:00,TSLA,SELL,66,245.08,243.99,-72.19,24860.91
2023-01-03 11:17:00,MSFT,SELL,34,389.58,388.73,-28.74,24832.17
2023-01-03 11:45:00,NVDA,BUY,66,866.5,870.35,254.15,25086.32
2023-01-03 12:06:00,SPY,BUY,70,486.87,488.12,87.67,25173.99
2023-01-03 12:29:00,SPY,BUY,91,487.83,484.07,-342.52,24831.47
2023-01-03 12:43:00,QQQ,SELL,36,412.23,410.49,-62.77,24768.7
2023-01-03 13:03:00,MSFT,SELL,69,389.45,391.04,109.72,24878.42
2023-01-03 13:34:00,AMZN,BUY,24,195.82,197.02,28.7,24907.12
2023-01-03 14:01:00,SPY,SELL,60,487.19,484.55,-158.14,24748.98
2023-01-03 14:24:00,QQQ,BUY,64,410.99,412.72,110.73,24859.71
2023-01-03 14:45:00,MSFT,SELL,105,391.04,388.66,-249.57,24610.14
2023-01-03 15:03:00,QQQ,BUY,69,411.1,409.56,-106.51,24503.63
2023-01-03 15:13:00,TSLA,BUY,54,245.32,246.26,50.62,24554.25
2023-01-04 09:32:00,AAPL,SELL,190,174.97,174.51,-87.37,24466.88
2023-01-04 09:35:00,SPY,BUY,77,490.65,488.73,-147.89,24318.99
2023-01-04 09:36:00,NVDA,BUY,120,860.97,857.51,-415.7,23903.29
2023-01-04 09:37:00,NVDA,SELL,26,856.22,852.73,-90.82,23812.47
2023-01-04 09:47:00,NVDA,SELL,185,855.7,850.81,-905.14,22907.33
2023-01-04 09:49:00,SPY,SELL,52,481.68,482.66,50.88,22958.21
2023-01-04 09:50:00,GOOGL,SELL,56,172.6,171.28,-73.83,22884.38
2023-01-04 09:57:00,AAPL,BUY,26,175.46,174.95,-13.26,22871.12
2023-01-04 09:59:00,AAPL,SELL,146,174.4,175.44,152.47,23023.59
2023-01-04 10:02:00,GOOGL,BUY,183,176.48,177.2,131.08,23154.67
2023-01-04 10:05:00,GOOGL,BUY,185,174.59,173.79,-148.86,23005.81
2023-01-04 10:07:00,NVDA,BUY,198,859.12,862.12,594.61,23600.42
2023-01-04 10:10:00,GOOGL,BUY,30,177.25,178.53,38.53,23638.95
2023-01-04 10:22:00,NVDA,SELL,96,868.73,863.23,-528.4,23110.55
2023-01-04 10:23:00,QQQ,BUY,25,410.88,413.91,75.7,23186.25
2023-01-04 10:24:00,SPY,SELL,24,487.04,490.43,81.45,23267.7
2023-01-04 10:26:00,TSLA,SELL,183,247.48,248.62,207.92,23475.62
2023-01-04 10:29:00,SPY,BUY,81,487.78,483.74,-327.35,23148.27
2023-01-04 10:30:00,NVDA,SELL,129,859.33,863.65,557.76,23706.03
2023-01-04 10:39:00,TSLA,SELL,38,244.71,246.06,51.43,23757.46
2023-01-04 10:42:00,SPY,BUY,34,487.38,488.94,52.93,23810.39
2023-01-04 10:43:00,AMZN,BUY,13,193.12,192.46,-8.59,23801.8
2023-01-04 10:50:00,AAPL,SELL,166,176.12,177.16,173.24,23975.04
2023-01-04 10:51:00,GOOGL,BUY,96,173.54,172.09,-138.74,23836.3
2023-01-04 10:53:00,TSLA,SELL,130,243.94,242.84,-143.09,23693.21
2023-01-04 10:56:00,TSLA,SELL,95,242.31,244.13,173.03,23866.24
2023-01-04 10:59:00,AAPL,BUY,83,174.46,175.09,52.6,23918.84
2023-01-04 11:07:00,SPY,SELL,113,480.96,479.98,-111.1,23807.74
2023-01-04 11:08:00,QQQ,BUY,200,402.98,400.27,-541.62,23266.12
2023-01-04 11:09:00,TSLA,BUY,65,243.0,243.74,48.12,23314.24
2023-01-04 11:11:00,NVDA,BUY,47,848.3,850.72,113.86,23428.1
2023-01-04 11:17:00,SPY,BUY,104,486.31,484.91,-145.27,23282.83
2023-01-04 11:20:00,AAPL,SELL,180,175.19,174.38,-145.24,23137.59
2023-01-04 11:21:00,TSLA,SELL,141,244.08,243.65,-60.51,23077.08
2023-01-04 11:36:00,TSLA,BUY,127,244.82,246.13,166.18,23243.26
2023-01-04 11:37:00,SPY,SELL,183,482.25,483.77,278.88,23522.14
2023-01-04 11:39:00,AMZN,SELL,71,194.8,193.4,-99.41,23422.73
2023-01-04 11:51:00,QQQ,BUY,126,408.16,409.55,174.56,23597.29
2023-01-04 11:52:00,AMZN,BUY,72,195.54,195.19,-25.34,23571.95
2023-01-04 11:54:00,AAPL,SELL,199,174.16,174.71,110.26,23682.21
2023-01-04 11:55:00,GOOGL,SELL,180,175.46,174.5,-173.24,23508.97
2023-01-04 12:02:00,AAPL,SELL,151,174.61,174.03,-86.83,23422.14
2023-01-04 12:04:00,TSLA,BUY,129,243.64,245.52,242.2,23664.34
2023-01-04 12:05:00,AAPL,BUY,115,174.27,174.92,75.16,23739.5
2023-01-04 12:06:00,GOOGL,SELL,167,175.98,174.6,-229.97,23509.53
2023-01-04 12:09:00,NVDA,SELL,172,863.36,862.03,-228.26,23281.27
2023-01-04 12:11:00,AAPL,BUY,187,174.55,172.98,-293.55,22987.72
2023-01-04 12:22:00,AMZN,BUY,186,194.36,195.05,128.31,23116.03
2023-01-04 12:25:00,MSFT,SELL,96,389.64,386.88,-264.78,22851.25
2023-01-04 12:26:00,MSFT,BUY,130,390.64,389.19,-188.27,22662.98
2023-01-04 12:27:00,QQQ,BUY,77,412.96,414.47,116.37,22779.35
2023-01-04 12:40:00,AAPL,BUY,101,174.14,175.18,104.58,22883.93
2023-01-04 12:42:00,TSLA,BUY,69,246.06,247.4,92.13,22976.06
2023-01-04 12:43:00,TSLA,BUY,54,244.92,245.3,20.61,22996.67
2023-01-04 12:44:00,TSLA,SELL,45,244.19,244.94,33.86,23030.53
2023-01-04 12:46:00,AAPL,BUY,142,175.99,175.13,-122.21,22908.32
2023-01-04 13:02:00,TSLA,BUY,161,246.76,246.26,-81.12,22827.2
2023-01-04 13:04:00,AAPL,SELL,140,175.01,173.92,-151.94,22675.26
2023-01-04 13:06:00,NVDA,SELL,42,852.82,859.49,280.19,22955.45
2023-01-04 13:13:00,MSFT,BUY,20,390.35,392.19,36.77,22992.22
2023-01-04 13:14:00,GOOGL,BUY,80,175.0,176.26,100.89,23093.11
2023-01-04 13:15:00,QQQ,BUY,189,414.61,417.67,578.77,23671.88
2023-01-04 13:16:00,AAPL,BUY,83,172.26,172.03,-19.19,23652.69
2023-01-04 13:18:00,AAPL,BUY,86,176.49,176.81,27.92,23680.61
2023-01-04 13:21:00,AMZN,BUY,52,193.73,195.13,72.79,23753.4
2023-01-04 13:31:00,QQQ,SELL,48,403.68,401.96,-82.64,23670.76
2023-01-04 13:33:00,SPY,BUY,71,487.28,483.25,-286.13,23384.63
2023-01-04 13:36:00,AMZN,SELL,71,196.44,197.9,103.79,23488.42
2023-01-04 13:39:00,GOOGL,BUY,61,175.63,176.86,74.81,23563.23
2023-01-04 13:42:00,QQQ,BUY,163,409.39,410.76,222.53,23785.76
2023-01-04 13:54:00,NVDA,SELL,122,848.86,847.82,-126.95,23658.81
2023-01-04 13:57:00,GOOGL,BUY,80,175.39,175.02,-29.32,23629.49
2023-01-04 14:00:00,AAPL,BUY,94,175.26,176.25,93.36,23722.85
2023-01-04 14:15:00,AAPL,BUY,89,176.14,175.0,-101.22,23621.63
2023-01-04 14:17:00,AMZN,BUY,106,194.34,194.82,51.1,23672.73
2023-01-04 14:20:00,NVDA,SELL,161,858.41,855.33,-496.62,23176.11
2023-01-04 14:22:00,SPY,SELL,167,486.72,483.0,-621.3,22554.81
2023-01-04 14:25:00,AMZN,BUY,126,195.69,194.52,-147.48,22407.33
2023-01-04 14:40:00,AMZN,BUY,55,193.72,194.16,24.15,22431.48
2023-01-04 14:42:00,AAPL,SELL,133,175.96,174.65,-173.97,22257.51
2023-01-04 14:45:00,AAPL,SELL,21,175.18,175.79,12.89,22270.4
2023-01-04 14:48:00,SPY,BUY,69,478.65,477.87,-54.05,22216.35
2023-01-04 14:51:00,AAPL,SELL,42,173.31,172.19,-46.99,22169.36
2023-01-04 15:02:00,GOOGL,SELL,36,173.32,172.1,-43.81,22125.55
2023-01-04 15:04:00,NVDA,SELL,186,857.26,850.15,-1321.8,20803.75
2023-01-04 15:06:00,GOOGL,SELL,104,174.38,175.65,132.41,20936.16
2023-01-04 15:09:00,TSLA,SELL,111,245.24,245.6,40.13,20976.29
2023-01-04 15:11:00,NVDA,BUY,142,860.13,861.38,177.35,21153.64
2023-01-04 15:22:00,GOOGL,SELL,69,174.64,173.19,-99.77,21053.87
2023-01-04 15:23:00,QQQ,BUY,23,407.66,405.36,-53.0,21000.87
2023-01-04 15:24:00,MSFT,BUY,188,391.42,388.87,-479.66,20521.21
2023-01-04 15:25:00,GOOGL,SELL,126,173.4,172.04,-171.35,20349.86
2023-01-04 15:27:00,SPY,SELL,44,490.24,492.7,108.31,20458.17
2023-01-04 15:29:00,SPY,SELL,72,481.18,482.72,110.6,20568.77
2023-01-04 15:39:00,NVDA,SELL,200,863.15,856.07,-1415.63,19153.14
2023-01-04 15:41:00,MSFT,SELL,35,386.02,387.32,45.63,19198.77
2023-01-04 15:42:00,GOOGL,BUY,148,176.63,176.02,-90.4,19108.37
2023-01-04 15:45:00,AAPL,SELL,79,173.82,173.62,-15.61,19092.76
2023-01-04 15:48:00,SPY,SELL,52,486.57,484.3,-118.24,18974.52
2023-01-04 15:59:00,MSFT,BUY,192,392.15,388.76,-650.73,18323.79
2023-01-05 09:30:00,QQQ,SELL,54,409.67,412.31,142.63,18466.42
2023-01-05 09:31:00,AAPL,SELL,199,174.25,174.8,108.91,18575.33
2023-01-05 09:34:00,MSFT,BUY,53,388.99,386.84,-114.2,18461.13
2023-01-05 09:40:00,AMZN,BUY,145,193.88,194.68,116.09,18577.22
2023-01-05 09:43:00,NVDA,SELL,145,857.37,852.44,-714.73,17862.49
2023-01-05 09:44:00,TSLA,BUY,59,248.54,247.0,-90.91,17771.58
2023-01-05 09:54:00,NVDA,BUY,153,864.61,871.35,1030.76,18802.34
2023-01-05 09:56:00,TSLA,SELL,40,244.84,246.33,59.42,18861.76
2023-01-05 09:59:00,NVDA,SELL,137,867.15,868.32,160.26,19022.02
