timestamp,asset,side,quantity,entry_price,exit_price,profit_loss,balance
2023-01-03 09:49:00,AAPL,BUY,53,173.97,172.02,-103.38,24896.62
2023-01-03 10:11:00,TSLA,BUY,73,242.75,244.76,146.89,25043.51
2023-01-03 10:28:00,AMZN,SELL,42,193.74,191.48,-95.11,24948.4
2023-01-03 10:47:00,NVDA,SELL,80,862.21,870.68,677.85,25626.25
2023-01-03 11:07:00,GOOGL,BUY,64,175.05,177.07,129.59,25755.84
2023-01-03 11:25:00,AMZN,BUY,52,194.81,196.57,91.28,25847.12
2023-01-03 11:50:00,MSFT,SELL,41,385.92,388.32,98.6,25945.72
2023-01-03 12:00:00,NVDA,SELL,57,856.05,844.0,-686.95,25258.77
2023-01-03 12:05:00,AMZN,BUY,94,196.31,194.8,-142.07,25116.7
2023-01-03 12:07:00,QQQ,SELL,84,411.7,408.81,-242.49,24874.21
2023-01-03 12:38:00,AAPL,BUY,140,174.3,175.11,113.66,24987.87
2023-01-03 12:58:00,TSLA,SELL,41,245.97,243.2,-113.37,24874.5
2023-01-03 13:36:00,NVDA,BUY,65,860.16,867.76,493.8,25368.3
2023-01-03 13:58:00,TSLA,SELL,50,242.42,244.99,128.57,25496.87
2023-01-03 14:17:00,MSFT,BUY,58,392.68,389.58,-179.71,25317.16
2023-01-03 14:19:00,AMZN,BUY,92,195.54,193.61,-177.72,25139.44
2023-01-03 14:22:00,AAPL,SELL,128,175.01,173.6,-180.23,24959.21
2023-01-03 14:38:00,AMZN,BUY,147,194.31,195.05,108.78,25067.99
2023-01-03 14:52:00,SPY,BUY,54,491.6,486.94,-251.53,24816.46
2023-01-03 15:28:00,GOOGL,BUY,67,175.16,176.3,76.23,24892.69
2023-01-03 15:49:00,AMZN,BUY,52,192.22,189.51,-140.97,24751.72
2023-01-03 15:53:00,MSFT,BUY,81,391.07,385.56,-446.31,24305.41
2023-01-04 09:30:00,GOOGL,BUY,115,174.72,176.33,184.78,24490.19
2023-01-04 09:39:00,NVDA,SELL,45,863.18,855.1,-363.45,24126.74
2023-01-04 09:42:00,AAPL,SELL,96,173.37,170.89,-238.08,23888.66
2023-01-04 10:03:00,TSLA,BUY,114,246.29,247.98,192.71,24081.37
2023-01-04 10:20:00,MSFT,SELL,47,388.35,384.13,-198.11,23883.26
2023-01-04 10:41:00,AAPL,BUY,63,175.99,177.67,105.95,23989.21
2023-01-04 10:55:00,SPY,BUY,50,485.41,479.31,-305.01,23684.2
2023-01-04 11:02:00,NVDA,SELL,93,859.87,862.81,273.88,23958.08
2023-01-04 11:42:00,TSLA,BUY,41,246.13,247.08,38.92,23997.0
2023-01-04 11:47:00,AAPL,SELL,40,174.86,173.29,-62.97,23934.03
2023-01-04 12:13:00,AAPL,BUY,67,173.68,174.67,66.04,24000.07
2023-01-04 12:43:00,AMZN,BUY,48,192.36,194.5,102.59,24102.66
2023-01-04 12:58:00,NVDA,SELL,47,861.9,856.36,-260.31,23842.35
2023-01-04 13:18:00,AAPL,SELL,76,174.68,175.76,81.97,23924.32
2023-01-04 13:35:00,NVDA,BUY,52,867.24,858.76,-440.7,23483.62
2023-01-04 13:40:00,MSFT,BUY,67,389.84,385.46,-293.34,23190.28
2023-01-04 13:44:00,GOOGL,SELL,98,172.77,171.03,-170.11,23020.17
2023-01-04 13:46:00,NVDA,BUY,136,856.2,851.63,-621.91,22398.26
2023-01-04 14:02:00,GOOGL,SELL,158,173.15,174.28,178.58,22576.84
2023-01-04 14:32:00,QQQ,SELL,51,412.17,415.31,159.91,22736.75
2023-01-04 14:57:00,AAPL,SELL,43,172.5,173.58,46.62,22783.37
2023-01-04 15:12:00,GOOGL,SELL,40,177.56,176.52,-41.68,22741.69
2023-01-04 15:27:00,AAPL,SELL,73,174.21,176.06,135.39,22877.08
2023-01-04 15:45:00,QQQ,SELL,62,407.68,410.43,170.36,23047.44
2023-01-05 09:30:00,MSFT,BUY,64,398.28,401.1,180.57,23228.01
2023-01-05 09:45:00,GOOGL,BUY,45,176.05,178.06,90.58,23318.59
2023-01-05 10:02:00,SPY,SELL,48,485.73,489.62,186.51,23505.1
2023-01-05 10:26:00,MSFT,SELL,49,386.09,388.96,140.56,23645.66
2023-01-05 10:39:00,NVDA,BUY,54,863.57,855.56,-432.3,23213.36
2023-01-05 10:43:00,SPY,SELL,84,485.25,482.02,-271.13,22942.23
2023-01-05 10:45:00,SPY,BUY,102,487.09,482.21,-497.37,22444.86
2023-01-05 10:51:00,SPY,SELL,116,487.52,483.46,-471.4,21973.46
2023-01-05 11:22:00,AMZN,BUY,178,194.82,196.66,326.89,22300.35
2023-01-05 11:59:00,AMZN,BUY,50,193.07,195.17,105.14,22405.49
2023-01-05 12:15:00,SPY,SELL,46,482.99,479.09,-179.46,22226.03
2023-01-05 12:20:00,NVDA,SELL,88,864.19,852.89,-994.07,21231.96
2023-01-05 12:46:00,AMZN,SELL,109,196.45,197.33,96.04,21328.0
2023-01-05 12:59:00,AAPL,BUY,53,173.44,171.76,-88.81,21239.19
2023-01-05 13:00:00,AAPL,BUY,69,175.11,173.11,-137.72,21101.47
2023-01-05 13:01:00,AMZN,SELL,126,193.77,191.85,-241.33,20860.14
2023-01-05 13:05:00,AAPL,SELL,105,176.63,177.72,114.38,20974.52
2023-01-05 13:52:00,QQQ,BUY,58,411.62,415.57,229.39,21203.91
2023-01-05 14:16:00,AAPL,SELL,44,174.61,173.64,-42.85,21161.06
2023-01-05 14:51:00,NVDA,SELL,88,862.94,871.72,773.03,21934.09
2023-01-05 15:00:00,NVDA,SELL,54,859.68,855.33,-234.99,21699.1
2023-01-05 15:03:00,SPY,BUY,76,485.56,482.11,-261.89,21437.21
2023-01-05 15:07:00,NVDA,SELL,124,851.51,839.19,-1527.65,19909.56
2023-01-05 15:12:00,AMZN,SELL,136,195.95,194.55,-190.28,19719.28
2023-01-05 15:52:00,NVDA,SELL,130,848.68,852.67,518.23,20237.51
2023-01-06 09:30:00,SPY,BUY,57,484.51,489.38,277.4,20514.91
2023-01-06 09:48:00,QQQ,BUY,63,412.2,415.48,206.89,20721.8
2023-01-06 09:59:00,AAPL,BUY,47,173.9,171.84,-96.83,20624.97
2023-01-06 10:03:00,TSLA,SELL,87,244.64,241.27,-292.87,20332.1
2023-01-06 10:21:00,SPY,SELL,106,485.61,490.15,480.98,20813.08
2023-01-06 10:51:00,TSLA,SELL,44,247.21,248.08,38.11,20851.19
2023-01-06 10:54:00,MSFT,SELL,63,389.97,393.23,205.33,21056.52
2023-01-06 11:12:00,AMZN,SELL,57,195.2,193.27,-110.18,20946.34
2023-01-06 11:15:00,NVDA,SELL,74,863.54,857.25,-465.7,20480.64
2023-01-06 11:19:00,GOOGL,SELL,128,173.61,171.48,-273.05,20207.59
2023-01-06 11:52:00,NVDA,BUY,147,857.23,860.69,507.96,20715.55
2023-01-06 12:08:00,TSLA,BUY,63,244.84,243.54,-82.11,20633.44
2023-01-06 12:19:00,MSFT,SELL,86,387.74,391.91,358.84,20992.28
2023-01-06 12:34:00,NVDA,BUY,50,866.32,859.81,-325.35,20666.93
2023-01-06 12:37:00,MSFT,SELL,72,389.44,384.62,-347.35,20319.58
2023-01-06 12:40:00,SPY,SELL,123,479.98,476.87,-382.61,19936.97
2023-01-06 12:45:00,SPY,BUY,124,484.57,477.57,-868.13,19068.84
2023-01-06 13:11:00,MSFT,BUY,193,392.65,394.32,323.02,19391.86
2023-01-06 13:24:00,AMZN,SELL,62,194.49,192.88,-99.82,19292.04
2023-01-06 13:43:00,NVDA,BUY,77,868.91,877.29,645.64,19937.68
2023-01-06 13:55:00,QQQ,SELL,55,410.13,406.41,-204.58,19733.1
2023-01-06 13:57:00,SPY,BUY,76,485.16,481.73,-260.7,19472.4
2023-01-06 14:10:00,AMZN,BUY,109,197.35,199.44,228.01,19700.41
2023-01-06 14:30:00,GOOGL,SELL,63,174.43,172.64,-112.49,19587.92
2023-01-06 14:34:00,SPY,BUY,78,485.45,480.36,-396.93,19190.99
2023-01-06 14:36:00,AAPL,BUY,129,174.29,172.49,-232.71,18958.28
2023-01-06 14:40:00,MSFT,SELL,157,391.28,387.25,-633.21,18325.07
2023-01-06 15:08:00,NVDA,BUY,159,863.27,872.99,1545.97,19871.04
2023-01-06 15:29:00,NVDA,BUY,49,859.97,850.38,-469.88,19401.16
2023-01-06 15:34:00,TSLA,BUY,63,246.82,244.48,-147.31,19253.85
2023-01-06 15:36:00,MSFT,SELL,82,388.33,385.14,-261.77,18992.08
2023-01-06 15:51:00,AMZN,SELL,100,195.44,196.83,139.2,19131.28
2023-01-09 09:30:00,QQQ,SELL,49,411.55,405.74,-284.74,18846.54
2023-01-09 10:10:00,NVDA,BUY,77,861.76,867.65,453.86,19300.4
2023-01-09 10:21:00,SPY,SELL,54,482.23,475.36,-370.79,18929.61
2023-01-09 10:24:00,QQQ,BUY,68,411.35,406.81,-308.87,18620.74
2023-01-09 10:58:00,GOOGL,SELL,94,173.36,175.02,156.5,18777.24
2023-01-09 11:09:00,SPY,SELL,60,490.2,492.29,125.67,18902.91
2023-01-09 11:28:00,TSLA,SELL,42,248.01,244.54,-145.79,18757.12
2023-01-09 11:31:00,AMZN,SELL,64,195.12,192.29,-181.31,18575.81
2023-01-09 12:07:00,GOOGL,BUY,95,175.71,176.97,119.84,18695.65
2023-01-09 12:21:00,TSLA,SELL,58,246.89,249.4,145.86,18841.51
2023-01-09 12:43:00,SPY,SELL,58,488.05,492.75,272.79,19114.3
2023-01-09 13:01:00,AMZN,BUY,56,196.44,195.12,-74.2,19040.1
2023-01-09 13:08:00,SPY,SELL,80,486.23,489.38,252.22,19292.32
2023-01-09 13:47:00,QQQ,BUY,40,408.19,410.53,93.69,19386.01
2023-01-09 13:56:00,QQQ,BUY,61,406.31,401.25,-308.74,19077.27
2023-01-09 14:11:00,GOOGL,BUY,83,175.31,176.59,105.87,19183.14
2023-01-09 14:33:00,TSLA,BUY,42,247.78,245.59,-92.0,19091.14
2023-01-09 14:34:00,SPY,SELL,90,489.87,487.28,-233.02,18858.12
2023-01-09 14:35:00,MSFT,SELL,123,392.56,389.46,-380.97,18477.15
2023-01-09 15:09:00,NVDA,SELL,132,860.54,863.53,394.95,18872.1
2023-01-09 15:21:00,MSFT,BUY,63,388.1,384.07,-254.2,18617.9
2023-01-09 15:23:00,NVDA,BUY,85,862.99,854.46,-725.13,17892.77
2023-01-09 15:30:00,TSLA,SELL,121,246.05,244.32,-209.09,17683.68
2023-01-09 15:35:00,TSLA,SELL,112,247.56,244.79,-310.42,17373.26
2023-01-09 15:40:00,QQQ,BUY,162,412.94,408.04,-794.45,16578.81
2023-01-09 15:56:00,NVDA,SELL,165,860.16,869.81,1592.17,18170.98
2023-01-10 09:30:00,MSFT,SELL,53,391.17,395.72,241.41,18412.39
